correction_fn,accurate,TP,TN,FN,FP,contradictory_pairs,consistent_acc_pairs,relevant_pairs,total_questions,num_batches,flips
C_0,394,38,356,1,105,129,1406,835,500,50,0
MaxSAT,443,35,408,4,53,25,1759,524,500,50,57
C_1,449,38,411,1,50,31,1812,505,500,50,55
C_2,416,38,378,1,83,79,1564,696,500,50,22
C_3,432,38,394,1,67,53,1683,595,500,50,38
C_4,427,38,389,1,72,58,1642,628,500,50,33
C_5,428,38,390,1,71,59,1652,624,500,50,34
C_6,399,38,361,1,100,126,1465,794,500,50,33
C_7,403,38,365,1,96,117,1486,770,500,50,15
C_8,303,33,270,6,191,366,836,1345,500,50,281
C_9,430,38,392,1,69,50,1659,622,500,50,55
C_10,432,39,393,0,68,52,1677,611,500,50,57
C_11,413,38,375,1,86,92,1543,719,500,50,27
C_12,476,17,459,22,2,3,2038,196,500,50,124
