Is a american bison a mammal? Yes
Is a american bison a american bison? Yes
Is a american bison an animal? Yes
Is a american bison a vertebrate? Yes
Is a american bison a warm blooded animal? Yes
Is a american bison capable of drink liquids? Yes
Does a american bison have a hair? Yes
Is a american bison a air breathing vertebrate? Yes
Is a american bison capable of mate? Yes
Is a american bison a amniote? Yes
Is a american bison a candy? No
Is a american bison a cheese? No
Is a american bison a salad? No
Is a american bison a sugar? No
Is a american bison a cake? No
Is a american bison a fruit? No
Is a american bison a meal? No
Is a american bison a soup? No
Is a american bison a vegetable? No
Is a american bison a fish? No
Is a american bison a bird? No
Is a american bison a reptile? No
Is a american bison an herb? No
Is a american bison made of cells molecules and atoms? Yes
Is a american bison a living creature? Yes
Is a american bison an organism? Yes
Is a american bison capable of eating? Yes
Is a american bison capable of live? Yes
Does a american bison have a face? Yes
Is a american bison a living organism? Yes
Does a american bison have the property of being alive? Yes
Is a american bison capable of move itself about? Yes
Does a american bison have a head? Yes
Is a american bison capable of fight for life? Yes
Is a american bison capable of note food? Yes
Is a american bison a bacterium? No
Is a american bison a virus? No
Is a american bison a fungus? No
Is a american bison a plant? No
Is a american bison an invertebrate? No
Is a american bison a living thing? Yes
Does a american bison have a cell? Yes
Is a american bison made of cells? Yes
Does a american bison have a body part? Yes
Is a american bison a mineral? No
Is a american bison an artifact? No
Is a american bison a sound? No
Is a american bison a religion? No
Is a american bison a science? No
Is a american bison a government? No
Is a american bison an art? No
Is a american bison a company? No
Is a american bison a hair? No
Is a american bison an action? No
Is a american bison a sport? No
Is a american bison a disease? No
Is a american bison a fire? No
Is a american bison a liquid? No
Is a american bison a molecule? No
Is a american bison a location? No
Is a american bison capable of die no more than once? Yes
Is a american bison a planet? No
Is a american bison an insect? No
Is a american bison a lizard? No
Is a american bison a bridge? No
Is a american bison a politician? No
Is a american bison a boat? No
Is a american bison a carbohydrate? No
Is a american bison a water? No
Is a american bison a palm tree? No
Is a american bison a jellyfish? No
Is a american bison a car? No
Is a american bison a country? No
Is a american bison a wine? No
Is a american bison a kitchen utensil? No
Is a american bison a plastic? No
Is a american bison a restaurant? No
Is a american bison a river? No
Is a american bison a road? No
Is a american bison a town? No
Is a american bison an asia? No
Is a american bison a continent? No
Is a american bison a clothes? No
Is a american bison a flower? No
Is a american bison a metal? No
Is a american bison a building? No
Is a american bison an acid? No
Is a american bison a tree? No
Is a american bison a food? No
Is a american bison a protein? No
Is a american bison a dog? No
Is a american bison an ocean? No
Is a american bison a deer? No
Is a american bison a doctor? No
Is a american bison a movie? No
