An albatross is a bird.
An albatross is a seabird.
An albatross is an animal.
An albatross is a eukaryotic_organism.
An albatross is a pelagic_bird.
An albatross is an albatross.
An albatross is made of cells molecules and atoms.
An albatross is a living creature.
An albatross is an organism.
An albatross is able to eating.
An albatross is able to live.
An albatross has a face.
An albatross is a living organism.
An albatross has the property of being alive.
An albatross is able to move itself about.
An albatross has a head.
An albatross is able to fight for life.
An albatross is able to note food.
An albatross is not a bacterium.
An albatross is not a virus.
An albatross is not a fungus.
An albatross is not a plant.
An albatross is a vertebrate.
An albatross has a beak.
An albatross is a terrestrial organism.
An albatross is a air breathing vertebrate.
An albatross has a wing.
An albatross has wings.
An albatross has two legs.
An albatross is a biped.
An albatross is a warm blooded animal.
An albatross has a bird's foot.
An albatross has two wings.
An albatross has feathers.
An albatross is a feathered animal.
An albatross is able to spread wings.
An albatross has a feather.
An albatross is able to injur it's wing if falls.
An albatross has a talon.
An albatross is able to fly.
An albatross is able to chirp.
An albatross is a oviparous animal.
An albatross has the property of being rising early.
An albatross is able to sing to mate.
An albatross has a air sac.
An albatross is able to travel across world.
An albatross is able to grow to larger size.
An albatross is able to sing to other birds.
An albatross is not a fish.
An albatross is not a reptile.
An albatross is not a mammal.
An albatross is a living thing.
An albatross is not an invertebrate.
An albatross has a cell.
An albatross is made of cells.
An albatross has a body part.
An albatross is not a mineral.
An albatross is not an artifact.
An albatross is not a sound.
An albatross is not a religion.
An albatross is not a science.
An albatross is not a government.
An albatross is not an art.
An albatross is not a company.
An albatross is not a hair.
An albatross is not an action.
An albatross is not a sport.
An albatross is not a disease.
An albatross is not a fire.
An albatross is not a liquid.
An albatross is not a molecule.
An albatross is not a location.
An albatross is able to die no more than once.
An albatross is not a tree.
An albatross is not a food.
An albatross is not a computer.
An albatross is not a car.
An albatross is not a protein.
An albatross is not a machine.
An albatross is not a school.
An albatross is not a dog.
An albatross is not a shop.
An albatross is not a country.
An albatross is not a plastic.
An albatross is not a planet.
An albatross is not an ocean.
An albatross is not a body of water.
An albatross is not a restaurant.
An albatross is not an insect.
An albatross is not a lizard.
An albatross is not a bicycle.
An albatross is not a bridge.
An albatross is not a house.
An albatross is not a publication.
An albatross is not a president.
An albatross is not a leader.
An albatross is not a turtle.
An albatross is not a europe.
An albatross is not a river.
An albatross is not a vehicle.
An albatross is not a deer.
An albatross is not a road.
An albatross is not a sugar.
An albatross is not a cat.
An albatross is not a politician.
An albatross is not a grass.
An albatross is not a town.
An albatross is not an africa.
An albatross is not a doctor.
An albatross is not a fruit.
An albatross is not a horse.
An albatross is not an asia.
